2015/01/03 23:11:48.155 ::: Debug -- Running: C:\Windows\System32\
2015/01/03 23:11:48.165 ::: Debug -- Exe    : taskkill.exe
2015/01/03 23:11:48.165 ::: Debug -- ARGS   : /T /F /FI "IMAGENAME eq QBW.Magic.LED*"
2015/01/03 23:11:48.175 ::: Debug -- Wait   : True
2015/01/03 23:11:48.375 ::: Info -- SUCCESS: The process with PID 11272 (child process of PID 312496) has been terminated.
2015/01/03 23:11:48.375 ::: Info -- Exit code :0
2015/01/03 23:11:54.515 ::: Debug -- WorkDir: C:\Users\davidq\Documents\GitHub\arcade\QBWmagicLED\QBW_Magic_LED\bin\Release\
2015/01/03 23:11:54.515 ::: Debug -- Running: C:\Users\davidq\Documents\GitHub\arcade\QBWmagicLED\QBW_Magic_LED\bin\Release\
2015/01/03 23:11:54.525 ::: Debug -- Exe    : QBW.Magic.LED.exe
2015/01/03 23:11:54.525 ::: Debug -- ARGS   : gorf.txt
2015/01/03 23:11:54.535 ::: Debug -- Wait   : False
2015/01/03 23:11:54.555 ::: Debug -- WorkDir: C:\Windows\System32\
2015/01/03 23:11:54.565 ::: Debug -- Running: C:\Windows\System32\
2015/01/03 23:11:54.565 ::: Debug -- Exe    : taskkill.exe
2015/01/03 23:11:54.575 ::: Debug -- ARGS   : /T /F /FI "IMAGENAME eq MameButtons*"
2015/01/03 23:11:54.575 ::: Debug -- Wait   : True
2015/01/03 23:11:54.775 ::: Info -- INFO: No tasks running with the specified criteria.
2015/01/03 23:11:54.805 ::: Info -- Exit code :0
2015/01/03 23:11:54.805 ::: Debug -- WorkDir: C:\Users\davidq\Documents\GitHub\arcade\mameButtons\MameButtons\bin\Release\
2015/01/03 23:11:54.815 ::: Debug -- Running: C:\Users\davidq\Documents\GitHub\arcade\mameButtons\MameButtons\bin\Release\
2015/01/03 23:11:54.815 ::: Debug -- Exe    : MameButtons.exe
2015/01/03 23:11:54.825 ::: Debug -- ARGS   : gorf
2015/01/03 23:11:54.825 ::: Debug -- Wait   : False
2015/01/03 23:11:54.855 ::: Error -- Multi ROM found::
2015/01/03 23:11:54.865 ::: Error -- ---> C:\MAME\145b
2015/01/03 23:11:54.865 ::: Error -- ---> C:\MAME\151b\gorf.zip
2015/01/03 23:11:54.875 ::: Info -- -----------------------------------------------------------
2015/01/03 23:11:54.885 ::: Info -- MAME: C:\MAME\151b\racermame.exe gorf -joystick -nowindow -max
2015/01/03 23:11:54.895 ::: Debug -- WorkDir: C:\MAME\151b\
2015/01/03 23:11:54.905 ::: Debug -- Running: C:\MAME\151b\
2015/01/03 23:11:54.905 ::: Debug -- Exe    : racermame.exe
2015/01/03 23:11:54.915 ::: Debug -- ARGS   : gorf -joystick -nowindow -max
2015/01/03 23:11:54.925 ::: Debug -- Wait   : True
2015/01/03 23:11:56.455 ::: Error -- Sample 'a' NOT FOUND
2015/01/03 23:11:56.462 ::: Error -- Sample 'a' NOT FOUND
2015/01/03 23:11:56.467 ::: Error -- Sample 'again' NOT FOUND
2015/01/03 23:11:56.472 ::: Error -- Sample 'am' NOT FOUND
2015/01/03 23:11:56.478 ::: Error -- Sample 'am' NOT FOUND
2015/01/03 23:11:56.485 ::: Error -- Sample 'and' NOT FOUND
2015/01/03 23:11:56.498 ::: Error -- Sample 'anhilatn' NOT FOUND
2015/01/03 23:11:56.504 ::: Error -- Sample 'another' NOT FOUND
2015/01/03 23:11:56.509 ::: Error -- Sample 'another' NOT FOUND
2015/01/03 23:11:56.515 ::: Error -- Sample 'are' NOT FOUND
2015/01/03 23:11:56.520 ::: Error -- Sample 'are' NOT FOUND
2015/01/03 23:11:56.527 ::: Error -- Sample 'avenger' NOT FOUND
2015/01/03 23:11:56.533 ::: Error -- Sample 'bad' NOT FOUND
2015/01/03 23:11:56.538 ::: Error -- Sample 'bad' NOT FOUND
2015/01/03 23:11:56.545 ::: Error -- Sample 'be' NOT FOUND
2015/01/03 23:11:56.551 ::: Error -- Sample 'been' NOT FOUND
2015/01/03 23:11:56.556 ::: Error -- Sample 'but' NOT FOUND
2015/01/03 23:11:56.561 ::: Error -- Sample 'button' NOT FOUND
2015/01/03 23:11:56.567 ::: Error -- Sample 'cadet' NOT FOUND
2015/01/03 23:11:56.574 ::: Error -- Sample 'cannot' NOT FOUND
2015/01/03 23:11:56.580 ::: Error -- Sample 'captain' NOT FOUND
2015/01/03 23:11:56.585 ::: Error -- Sample 'chronicl' NOT FOUND
2015/01/03 23:11:56.593 ::: Error -- Sample 'coin' NOT FOUND
